time,station_id,sbe_salinity_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-01 00:00:00+00:00,Mace Head,33.1115,1.0,1.0,1.0,1.0,2.0,2,1.0
2020-01-01 00:30:00+00:00,Mace Head,33.1187,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 01:00:00+00:00,Mace Head,33.1119,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 01:30:00+00:00,Mace Head,33.1116,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 02:00:00+00:00,Mace Head,33.1155,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 02:30:00+00:00,Mace Head,33.1212,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 03:00:00+00:00,Mace Head,33.1241,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 03:30:00+00:00,Mace Head,33.0897,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 04:00:00+00:00,Mace Head,33.1281,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 04:30:00+00:00,Mace Head,33.1972,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 05:00:00+00:00,Mace Head,33.2441,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 05:30:00+00:00,Mace Head,33.2214,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 06:00:00+00:00,Mace Head,33.1907,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 06:30:00+00:00,Mace Head,33.208,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 07:00:00+00:00,Mace Head,33.2085,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 07:30:00+00:00,Mace Head,33.2302,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 08:00:00+00:00,Mace Head,33.1937,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 08:30:00+00:00,Mace Head,33.1899,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 09:00:00+00:00,Mace Head,33.196999999999996,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 09:30:00+00:00,Mace Head,33.1953,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 10:00:00+00:00,Mace Head,33.1982,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 10:30:00+00:00,Mace Head,33.1517,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 11:00:00+00:00,Mace Head,33.141,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 11:30:00+00:00,Mace Head,33.1553,1.0,1.0,1.0,1.0,1.0,2,1.0
2020-01-01 12:00:00+00:00,Mace Head,33.205999999999996,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 12:30:00+00:00,Mace Head,33.1601,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 13:00:00+00:00,Mace Head,33.1858,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 13:30:00+00:00,Mace Head,33.1906,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 14:00:00+00:00,Mace Head,33.2014,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 14:30:00+00:00,Mace Head,33.1953,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 15:00:00+00:00,Mace Head,33.1746,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 15:30:00+00:00,Mace Head,33.1575,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 16:00:00+00:00,Mace Head,33.1365,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 16:30:00+00:00,Mace Head,33.1363,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 17:00:00+00:00,Mace Head,33.1654,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 17:30:00+00:00,Mace Head,33.2117,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 18:00:00+00:00,Mace Head,33.207,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 18:30:00+00:00,Mace Head,33.1921,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 19:00:00+00:00,Mace Head,33.1868,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 19:30:00+00:00,Mace Head,33.1787,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-01 20:00:00+00:00,Mace Head,33.1752,1.0,1.0,1.0,1.0,1.0,1,1.0
